carrier_id,carrier_name,carrier_type,region
ATQ,Bairline Fluggesellschaft,Unknown,USA
0BQ,DCA,Unknown,USA
GQQ,Executive Express dba Ravn Connect,Unknown,USA
GCQ,Glock Aviation GmbH,Unknown,USA
1XQ,Dassault Falcon Service,Unknown,USA
ELL,Ellis Air Taxi Inc.,Unknown,USA
VXQ,Voluxis Limited,Unknown,USA
U7,USA Jet Airlines Inc.,Unknown,USA
TEQ,TAG Aviation (Malta) Ltd.,Unknown,USA
IGA,"Global Jet Austria, GmbH",Unknown,USA
2JQ,Delux Public Charter LLC,Unknown,USA
FYQ,Flying Group Lux S.A.,Unknown,USA
2UQ,Svenskt Industriflyg AB,Unknown,USA
HUQ,Haute Aviation,Unknown,USA
7H,NEW PACIFIC AIRLINES,Unknown,USA
VC,Via Airlines d/b/a Sterling Airways,Unknown,USA
AM,Aeromexico,Unknown,USA
KG,Key Lime Air Corp dba Denver Air Connection,Unknown,USA
ZW,Air Wisconsin Airlines Corp,Unknown,USA
5D,Aerolitoral,Unknown,USA
RVQ,"Reeve Air Alaska, LLC",Unknown,USA
PT,Piedmont Airlines,Unknown,USA
GFQ,Gulf And Caribbean Cargo,Unknown,USA
MU,China Eastern Airlines,Unknown,USA
QK,Jazz Aviation LP,Unknown,USA
MQ,Envoy Air,Unknown,USA
YV,Mesa Airlines Inc.,Unknown,USA
G7,GoJet Airlines LLC d/b/a United Express,Unknown,USA
WS,Westjet,Unknown,USA
WST,Friday Harbor Seaplanes,Unknown,USA
WFL,World2Fly SLU,Unknown,USA
AC,Air Canada,Unknown,USA
OH,PSA Airlines Inc.,Unknown,USA
QX,Horizon Air,Unknown,USA
H8,Sky Airline Peru,Unknown,USA
2K,Aerogal,Unknown,USA
AMQ,Ameristar Air Cargo,Unknown,USA
WG,Sunwing Airlines Inc.,Unknown,USA
B0,Dreamjet SAS Dba La Compagnie,Unknown,USA
CM,Compania Panamena (Copa),Unknown,USA
LA,Lan-Chile Airlines,Unknown,USA
BCQ,Bradley Air Services Ltd.,Unknown,USA
PD,"Porter Airlines, Inc.",Unknown,USA
CRV,Acropolis Aviation Ltd.,Unknown,USA
AD,Azul Linhas Aereas Brazileiras S A,Unknown,USA
4C,Aerovias de Intergracian Regional,Unknown,USA
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",Unknown,USA
ARQ,Flightworx Aviation Ltd,Unknown,USA
HA,Hawaiian Airlines Inc.,Unknown,USA
TA,Taca International Airlines,Unknown,USA
G4,Allegiant Air,Unknown,USA
AV,Aerovias Nacl De Colombia,Unknown,USA
QF,Qantas Airways Ltd.,Unknown,USA
RV,Air Canada rouge LP,Unknown,USA
NC,Northern Air Cargo Inc.,Unknown,USA
1EQ,"KaiserAir, Inc.",Unknown,USA
AS,Alaska Airlines Inc.,Unknown,USA
1QQ,City Wings Inc dba Seaflight,Unknown,USA
Y4,Concesionaria Vuela Compania De Aviacion SA de CV (Volaris),Unknown,USA
AA,American Airlines Inc.,Unknown,USA
KH,Aloha Air Cargo,Unknown,USA
WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",Unknown,USA
XP,TEM Enterprises dba  Avelo Airlines,Unknown,USA
LR,Lacsa,Unknown,USA
07Q,Flair Airlines Ltd.,Unknown,USA
GCH,Grand Canyon Helicopters,Unknown,USA
F9,Frontier Airlines Inc.,Unknown,USA
VB,"Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus",Unknown,USA
FJ,Air Pacific Ltd.,Unknown,USA
Q6,"Vuela Aviacion, S.A.",Unknown,USA
5X,United Parcel Service,Unknown,USA
CI,China Airlines Ltd.,Unknown,USA
XL,Lan Ecuador,Unknown,USA
GCA,"Global Crossing Airlines, Inc.",Unknown,USA
SK,Scandinavian Airlines Sys.,Unknown,USA
EK,Emirates,Unknown,USA
FI,Icelandair,Unknown,USA
02Q,Titan Airways,Unknown,USA
JL,Japan Air Lines Co. Ltd.,Unknown,USA
OG,Fly PLAY ehf,Unknown,USA
2GQ,Cavok Air LLC,Unknown,USA
TS,Air Transat,Unknown,USA
N3,Vuela EL Salvador S.A. de C.V.,Unknown,USA
SY,Sun Country Airlines d/b/a MN Airlines,Unknown,USA
PR,Philippine Airlines Inc.,Unknown,USA
KLQ,Kalitta Charters II,Unknown,USA
TP,TAP-TAP Air Portugal,Unknown,USA
L2,Lynden Air Cargo Airlines,Unknown,USA
LY,El Al Israel Airlines Ltd.,Unknown,USA
BA,British Airways Plc,Unknown,USA
HQC,1903 Aviation,Unknown,USA
S4,Sata Internacional,Unknown,USA
KE,Korean Air Lines Co. Ltd.,Unknown,USA
LJ,Jin Air Co Ltd.,Unknown,USA
PFQ,Asia Pacific,Unknown,USA
N8,National Air Cargo Group Inc d/ba National Airlines,Unknown,USA
LH,Lufthansa German Airlines,Unknown,USA
EI,Aer Lingus Plc,Unknown,USA
