airport_id,city,state,airport_name,country
AEX,"Alexandria, LA",LA,AEX Airport,USA
AMS,"Amsterdam, Netherlands",,AMS Airport,USA
BFI,"Seattle, WA",WA,BFI Airport,USA
BIF,"El Paso, TX",TX,BIF Airport,USA
BIL,"Billings, MT",MT,BIL Airport,USA
BTR,"Baton Rouge, LA",LA,BTR Airport,USA
CLE,"Cleveland, OH",OH,CLE Airport,USA
CMI,"Champaign/Urbana, IL",IL,CMI Airport,USA
DAL,"Dallas, TX",TX,DAL Airport,USA
DTW,"Detroit, MI",MI,DTW Airport,USA
ELP,"El Paso, TX",TX,ELP Airport,USA
FAY,"Fayetteville, NC",NC,FAY Airport,USA
GPT,"Gulfport/Biloxi, MS",MS,GPT Airport,USA
GRB,"Green Bay, WI",WI,GRB Airport,USA
HOU,"Houston, TX",TX,HOU Airport,USA
IAH,"Houston, TX",TX,IAH Airport,USA
IND,"Indianapolis, IN",IN,IND Airport,USA
LSV,"Las Vegas, NV",NV,LSV Airport,USA
MCI,"Kansas City, MO",MO,MCI Airport,USA
MFE,"Mission/McAllen/Edinburg, TX",TX,MFE Airport,USA
MIA,"Miami, FL",FL,MIA Airport,USA
MKC,"Kansas City, MO",MO,MKC Airport,USA
MKE,"Milwaukee, WI",WI,MKE Airport,USA
MSN,"Madison, WI",WI,MSN Airport,USA
MSP,"Minneapolis, MN",MN,MSP Airport,USA
MXP,"Milan, Italy",,MXP Airport,USA
NKT,"Sirnak, Turkey",,NKT Airport,USA
PDX,"Portland, OR",OR,PDX Airport,USA
PTK,"Pontiac, MI",MI,PTK Airport,USA
PVD,"Providence, RI",RI,PVD Airport,USA
RIV,"Riverside, CA",CA,RIV Airport,USA
ROC,"Rochester, NY",NY,ROC Airport,USA
SAV,"Savannah, GA",GA,SAV Airport,USA
SEA,"Seattle, WA",WA,SEA Airport,USA
SJC,"San Jose, CA",CA,SJC Airport,USA
SRQ,"Sarasota/Bradenton, FL",FL,SRQ Airport,USA
SVN,"Savannah, GA",GA,SVN Airport,USA
SYR,"Syracuse, NY",NY,SYR Airport,USA
TLV,"Tel Aviv, Israel",,TLV Airport,USA
YUM,"Yuma, AZ",AZ,YUM Airport,USA
CNF,"Belo Horizonte, Brazil",,CNF Airport,USA
GRU,"Sao Paulo, Brazil",,GRU Airport,USA
PAE,"Everett, WA",WA,PAE Airport,USA
PUJ,"Punta Cana, Dominican Republic",,PUJ Airport,USA
ALB,"Albany, NY",NY,ALB Airport,USA
ANC,"Anchorage, AK",AK,ANC Airport,USA
ANI,"Aniak, AK",AK,ANI Airport,USA
BET,"Bethel, AK",AK,BET Airport,USA
ILI,"Iliamna, AK",AK,ILI Airport,USA
PTH,"Port Heiden, AK",AK,PTH Airport,USA
WRG,"Wrangell, AK",AK,WRG Airport,USA
YAK,"Yakutat, AK",AK,YAK Airport,USA
HKG,"Hong Kong, Hong Kong",,HKG Airport,USA
PBG,"Plattsburgh, NY",NY,PBG Airport,USA
BID,"Block Island, RI",RI,BID Airport,USA
WST,"Westerly, RI",RI,WST Airport,USA
AUS,"Austin, TX",TX,AUS Airport,USA
BOI,"Boise, ID",ID,BOI Airport,USA
BUR,"Burbank, CA",CA,BUR Airport,USA
CMH,"Columbus, OH",OH,CMH Airport,USA
MYR,"Myrtle Beach, SC",SC,MYR Airport,USA
ORF,"Norfolk, VA",VA,ORF Airport,USA
PAP,"Port-au-Prince, Haiti",,PAP Airport,USA
RIC,"Richmond, VA",VA,RIC Airport,USA
RNO,"Reno, NV",NV,RNO Airport,USA
SAT,"San Antonio, TX",TX,SAT Airport,USA
SMF,"Sacramento, CA",CA,SMF Airport,USA
SNA,"Santa Ana, CA",CA,SNA Airport,USA
HNL,"Honolulu, HI",HI,HNL Airport,USA
LIH,"Lihue, HI",HI,LIH Airport,USA
FCA,"Kalispell, MT",MT,FCA Airport,USA
GRR,"Grand Rapids, MI",MI,GRR Airport,USA
JAX,"Jacksonville, FL",FL,JAX Airport,USA
MBJ,"Montego Bay, Jamaica",,MBJ Airport,USA
OMA,"Omaha, NE",NE,OMA Airport,USA
PSP,"Palm Springs, CA",CA,PSP Airport,USA
TUS,"Tucson, AZ",AZ,TUS Airport,USA
TVC,"Traverse City, MI",MI,TVC Airport,USA
CPX,"Culebra, PR",PR,CPX Airport,USA
NAS,"Nassau, The Bahamas",,NAS Airport,USA
PNX,"Sherman-Denison, TX",TX,PNX Airport,USA
SBA,"Santa Barbara, CA",CA,SBA Airport,USA
HDN,"Hayden, CO",CO,HDN Airport,USA
PLS,"Providenciales, Turks and Caicos Islands",,PLS Airport,USA
AFW,"Dallas/Fort Worth, TX",TX,AFW Airport,USA
AVL,"Asheville, NC",NC,AVL Airport,USA
CAE,"Columbia, SC",SC,CAE Airport,USA
CID,"Cedar Rapids/Iowa City, IA",IA,CID Airport,USA
DCA,"Washington, DC",VA,DCA Airport,USA
GSO,"Greensboro/High Point, NC",NC,GSO Airport,USA
HYA,"Hyannis, MA",MA,HYA Airport,USA
FBS,"Friday Harbor, WA",WA,FBS Airport,USA
KEH,"Kenmore, WA",WA,KEH Airport,USA
LKE,"Seattle, WA",WA,LKE Airport,USA
YWH,"Victoria, Canada",BC,YWH Airport,USA
SHX,"Shageluk, AK",AK,SHX Airport,USA
EIS,"Road Town, British Virgin Islands",,EIS Airport,USA
BRW,"Barrow, AK",AK,BRW Airport,USA
RFD,"Rockford, IL",IL,RFD Airport,USA
NRT,"Tokyo, Japan",,NRT Airport,USA
SNN,"Shannon, Ireland",,SNN Airport,USA
ATK,"Atqasuk, AK",AK,ATK Airport,USA
TKJ,"Tok, AK",AK,TKJ Airport,USA
PMI,"Palma Mallorca, Spain",,PMI Airport,USA
ARN,"Stockholm, Sweden",,ARN Airport,USA
YFB,"Iqaluit, Canada",NU,YFB Airport,USA
HKB,"Healy, AK",AK,HKB Airport,USA
BVU,"Beluga, AK",AK,BVU Airport,USA
MRI,"Anchorage, AK",AK,MRI Airport,USA
TYE,"Tyonek, AK",AK,TYE Airport,USA
BTT,"Bettles, AK",AK,BTT Airport,USA
CXF,"Coldfoot, AK",AK,CXF Airport,USA
YYT,"St. John's, Canada",NL,YYT Airport,USA
HOM,"Homer, AK",AK,HOM Airport,USA
PPC,"Prospect Creek, AK",AK,PPC Airport,USA
OME,"Nome, AK",AK,OME Airport,USA
ESD,"Eastsound, WA",WA,ESD Airport,USA
NUI,"Nuiqsut, AK",AK,NUI Airport,USA
LMA,"Lake Minchumina, AK",AK,LMA Airport,USA
BTV,"Burlington, VT",VT,BTV Airport,USA
AKI,"Akiak, AK",AK,AKI Airport,USA
ATT,"Atmautluak, AK",AK,ATT Airport,USA
EEK,"Eek, AK",AK,EEK Airport,USA
KKH,"Kongiganak, AK",AK,KKH Airport,USA
KKI,"Akiachak, AK",AK,KKI Airport,USA
KLG,"Kalskag, AK",AK,KLG Airport,USA
KPN,"Kipnuk, AK",AK,KPN Airport,USA
KUK,"Kasigluk, AK",AK,KUK Airport,USA
KWN,"Quinhagak, AK",AK,KWN Airport,USA
KWT,"Kwethluk, AK",AK,KWT Airport,USA
MLL,"Marshall, AK",AK,MLL Airport,USA
NUP,"Nunapitchuk, AK",AK,NUP Airport,USA
PKA,"Napaskiak, AK",AK,PKA Airport,USA
TLT,"Tuluksak, AK",AK,TLT Airport,USA
WNA,"Napakiak, AK",AK,WNA Airport,USA
RSH,"Russian Mission, AK",AK,RSH Airport,USA
WTL,"Tuntutuliak, AK",AK,WTL Airport,USA
